ciclo	40x40	40x80	80x80	80x160	120x120	120x240
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.000934	0.010500	0.009800	0.003780	0.002960	0.008880
19	0.001100	0.023200	0.016400	0.007650	0.006310	0.015700
29	0.000862	0.024000	0.023000	0.009570	0.010200	0.023200
39	0.001280	0.032400	0.027900	0.015600	0.013700	0.026200
49	0.002230	0.033100	0.033300	0.015300	0.015600	0.030200
59	0.003570	0.037000	0.035300	0.019400	0.017300	0.030900
69	0.002370	0.036600	0.037500	0.018000	0.019000	0.035300
79	0.004650	0.038400	0.039200	0.021800	0.019900	0.036300
89	0.003120	0.038600	0.038600	0.020700	0.021200	0.036600
99	0.004550	0.039200	0.038900	0.024300	0.021200	0.040200
199	0.005190	0.042400	0.0448000	0.026800	0.022300	0.048900
299	0.006350	0.048200	0.047400	0.033300	0.026500	0.051500
399	0.006150	0.049100	0.047400	0.034000	0.029900	0.053600
499	0.006030	0.048800	0.049400	0.036100	0.028900	0.056400
599	0.005840	0.049600	0.050500	0.037500	0.031700	0.056200
699	0.007380	0.049500	0.050100	0.037300	0.033300	0.057800
799	0.007080	0.049600	0.050800	0.037700	0.033000	0.058000
899	0.007890	0.051700	0.052400	0.039100	0.034300	0.056700
999	0.008330	0.050800	0.051000	0.038700	0.036200	0.058000
1999	0.010800	0.054300	0.058000	0.041300	0.042300	0.062200
2999	0.013700	0.055100	0.057800	0.043500	0.043200	0.066100
3999	0.016700	0.056800	0.058600	0.044800	0.048500	0.068300
4999	0.018800	0.055500	0.059700	0.044300	0.048500	0.070600
5999	0.021800	0.057300	0.060700	-1	0.048200	0.072100
6999	0.023900	0.057400	0.061700	-1	0.049100	0.071100
7999	0.025400	0.059700	0.062700	-1	0.049500	0.073300
8999	0.027900	0.058200	0.063600	-1	0.049400	0.074100
9999	0.0302000	0.058200	0.064600	-1	0.052400	0.073200
